"market_level","tp_0.1","tp_0.15","tp_0.2","tp_0.25","tp_0.3","tp_0.33","tp_0.35","tp_0.4","tp_0.45","tp_0.5","tp_0.55","tp_0.6","tp_0.65","tp_0.7","tp_0.75","tp_0.8","tp_0.85","tp_0.9","tp_0.95"
"1",,,,,,,,,,,,,,,,,,,
"2",,,,,,,,,,,,,,,,,,,
"3",,,,,,,,,,,,,,,,,,,
"4","0.234252","0.270973","0.307695","0.344416","0.381137","0.397895","0.4075","0.418943","0.427544","0.44406","0.453179","0.456233","0.460143","0.459222","0.459648","0.460053","0.462589","0.46223","0.461409"
"5",,,,,,,,,,,,,,,,,,,
"6","0.295006","0.326855","0.358704","0.390554","0.422403","0.436244","0.443079","0.47223","0.488208","0.498002","0.517355","0.520102","0.531771","0.53316","0.532026","0.534497","0.536969","0.537781","0.53529"
"7","0.67056","0.701315","0.732071","0.762827","0.793582","0.817746","0.835461","0.855985","0.883513","0.899979","0.909553","0.921966","0.927401","0.935674","0.942146","0.944136","0.942808","0.972829","0.973445"
"8",,,,,,,,,,,,,,,,,,,
"9","0.299259","0.33057","0.361881","0.393191","0.424502","0.443677","0.450239","0.463818","0.476121","0.488004","0.494242","0.496697","0.498305","0.501908","0.503694","0.510312","0.510902","0.510876","0.511298"
