market_level,gate,trades,win_rate,avg_return,expectancy,max_drawdown,note
1,rsi,40,0.975,0.522646208189397,0.5226462081893971,-0.33767827028857633,
1,adx,148,0.8851351351351351,0.4369543804163863,0.43695438041638623,-0.33767827028857633,
1,cmf,123,0.9186991869918699,0.3925431233289689,0.39254312332896896,-0.10530594658308624,
1,rvol,100,0.9,0.3771657726088731,0.37716577260887313,0.0,
1,ema10_50,236,0.9491525423728814,0.4204652650183279,0.4186836325394367,-0.10530594658308617,
1,ema50_200,238,0.9453781512605042,0.3637254763741111,0.36372547637411107,-0.07749978291493492,
1,bbw,185,0.972972972972973,0.42343184822087954,0.42114302741968557,-0.1053059465830863,
1,range,185,0.9297297297297298,0.33684867065960145,0.33684867065960145,-0.10530594658308617,
1,confluence,3,1.0,0.6295495806396995,,0.0,
1,k_confluence_5,47,0.9148936170212766,0.44474705928558367,0.44474705928558367,0.0,
1,k_confluence_4,107,0.9345794392523364,0.39570517084204443,0.39570517084204443,-0.10530594658308629,
1,k_confluence_6,14,1.0,0.5547582777341601,,0.0,
1,k_confluence_7,7,1.0,0.6043625600511631,,0.0,
2,rsi,54,0.9629629629629629,0.4802214157898358,0.48022141578983585,0.0,
2,adx,94,0.8404255319148937,0.34619241883256563,0.34619241883256563,-0.46212471899020785,
2,cmf,89,0.9101123595505618,0.41208056711092667,0.41208056711092667,-0.026584891052832706,
2,rvol,45,0.8,0.5190442318083375,0.5190442318083374,-0.04333579518942084,
2,ema10_50,157,0.910828025477707,0.41646401771885744,0.4164640177188573,-0.471419394549825,
2,ema50_200,118,0.9152542372881356,0.3857498988196744,0.38574989881967436,-0.2750763555121449,
2,bbw,100,1.0,0.45125184819586456,,0.0,
2,range,100,0.93,0.4202275745086652,0.4202275745086652,-0.275076355512145,
2,confluence,0,0.0,0.0,0.0,0.0,no_trades
2,k_confluence_5,38,0.9736842105263158,0.47203570451459737,0.4720357045145975,0.0,
2,k_confluence_4,79,0.9620253164556962,0.48309965979122066,0.48309965979122077,-0.003921484482528613,
2,k_confluence_6,18,1.0,0.5572645269611343,,0.0,
2,k_confluence_7,6,1.0,0.5488658148864363,,0.0,
3,rsi,85,0.9176470588235294,0.6285841289945343,0.6285841289945343,-0.2621574739922374,
3,adx,153,0.8496732026143791,0.48665887315244577,0.48665887315244577,-0.4248598243035054,
3,cmf,165,0.8909090909090909,0.5222917306905392,0.5222917306905392,-0.22324240383852456,
3,rvol,67,0.835820895522388,0.4770334552424528,0.47703345524245266,-0.17783083753587484,
3,ema10_50,238,0.8991596638655462,0.4809227755974492,0.4809227755974492,-0.4060239425864853,
3,ema50_200,184,0.8967391304347826,0.5170782063750206,0.5170782063750204,-0.39423995739683143,
3,bbw,148,0.9324324324324325,0.4434354157554122,0.4434354157554121,-0.2775844141390001,
3,range,148,0.9054054054054054,0.5843946676706898,0.5843946676706897,-0.27758441413900004,
3,confluence,1,1.0,1.41376296072835,,0.0,
3,k_confluence_5,72,0.9861111111111112,0.6796029645152698,0.6796029645152697,-0.06731707702621534,
3,k_confluence_4,134,0.8955223880597015,0.5548005962078345,0.5548005962078343,-0.22544353706226794,
3,k_confluence_6,36,1.0,0.8365067231662482,,0.0,
3,k_confluence_7,6,1.0,0.7703167665534852,,0.0,
4,rsi,106,0.9716981132075472,0.49492339405675495,0.4949233940567549,-0.021013747236137234,
4,adx,109,0.8532110091743119,1.61689132377124,1.6168913237712401,-0.37352288802231276,
4,cmf,180,0.9222222222222223,0.3937037771164557,0.39370377711645566,-0.3304722249643507,
4,rvol,72,0.8194444444444444,2.264556639139051,2.2645566391390504,-0.04155474490762629,
4,ema10_50,239,0.9205020920502092,1.0312014268502965,1.031201426850296,-0.35727893134568406,
4,ema50_200,138,0.9057971014492754,0.40922578105694846,0.40922578105694846,-0.1505882348678615,
4,bbw,134,0.9925373134328358,0.4862116150822807,0.48621161508228083,-0.0415547449076264,
4,range,134,0.917910447761194,1.4043294145200242,1.4043294145200242,-0.35727893134568406,
4,confluence,1,1.0,0.1139124223723544,,0.0,
4,k_confluence_5,67,1.0,0.47255850674774974,,0.0,
4,k_confluence_4,132,0.9621212121212122,1.451545168875149,1.4515451688751493,-0.0415547449076263,
4,k_confluence_6,32,1.0,0.46838481133140225,,0.0,
4,k_confluence_7,9,1.0,0.564170749734174,,0.0,
5,rsi,86,0.9302325581395349,0.5989352605570508,0.5989352605570508,-0.9059618953415912,
5,adx,94,0.8404255319148937,0.5016255404910062,0.4962890985708888,-0.3242599904495289,
5,cmf,107,0.9158878504672897,0.5556057436441565,0.5556057436441564,-0.3242599904495289,
5,rvol,39,0.8461538461538461,0.55282058052646,0.55282058052646,-0.6231673115785026,
5,ema10_50,143,0.8811188811188811,0.5384863667378463,0.5347207278096097,-0.9059618953415912,
5,ema50_200,100,0.87,0.5229843803809837,0.5229843803809837,-0.6231673115785026,
5,bbw,79,0.9746835443037974,0.5616372271268467,0.5616372271268467,-0.4423407181821579,
5,range,79,0.8607594936708861,0.47657570402033994,0.47657570402034005,-0.9059618953415912,
5,confluence,1,1.0,0.9366031267216997,,0.0,
5,k_confluence_5,66,0.9545454545454546,0.6302128636356257,0.6302128636356257,-0.6231673115785026,
5,k_confluence_4,98,0.9285714285714286,0.5686994190302262,0.5686994190302262,-0.6231673115785027,
5,k_confluence_6,26,0.9230769230769231,0.6680191537792921,0.668019153779292,-0.3242599904495289,
5,k_confluence_7,7,0.8571428571428571,0.6337713761029017,0.6337713761029017,-0.3242599904495289,
6,rsi,126,0.9761904761904762,0.5523655596684918,0.5523655596684917,-0.11313662966173242,
6,adx,132,0.8787878787878788,0.5337590879649021,0.5337590879649021,-0.6555422330783727,
6,cmf,157,0.9426751592356688,0.5069456183949275,0.5069456183949275,-0.11313662966173237,
6,rvol,90,0.8444444444444444,0.5053689498089285,0.5053689498089284,-0.11313662966173244,
6,ema10_50,219,0.9041095890410958,0.4772821851047853,0.47728218510478526,-0.2070369085325194,
6,ema50_200,162,0.9197530864197531,0.4862140705703042,0.4862140705703042,-0.15203371402714852,
6,bbw,130,0.9923076923076923,0.5543466530142455,0.5543466530142455,-0.1131366296617324,
6,range,130,0.9230769230769231,0.5076788177735997,0.5076788177735997,-0.16573533267740923,
6,confluence,1,1.0,0.8796350186046993,,0.0,
6,k_confluence_5,92,0.9782608695652174,0.5435944375317016,0.5435944375317016,-0.11313662966173245,
6,k_confluence_4,152,0.9671052631578947,0.5398901008679513,0.5398901008679514,-0.1131366296617324,
6,k_confluence_6,40,0.975,0.5548227690941954,0.5548227690941953,-0.11313662966173248,
6,k_confluence_7,13,1.0,0.5318805448971996,,0.0,
7,rsi,370,0.972972972972973,0.5563940022952971,0.5563940022952971,-0.25438448712599077,
7,adx,250,0.876,0.5231320258037276,0.5231320258037278,-0.25438448712599065,
7,cmf,395,0.9392405063291139,0.5685109484393114,0.5685109484393113,-0.45674427558794606,
7,rvol,215,0.9023255813953488,0.5235842153853826,0.5235842153853827,-0.2635217793566191,
7,ema10_50,468,0.9252136752136753,0.5570871911095927,0.5570871911095927,-0.2543844871259907,
7,ema50_200,279,0.9139784946236559,0.6151323167426762,0.6151323167426761,-0.263521779356619,
7,bbw,246,0.9959349593495935,0.524353877265662,0.5243538772656621,-0.03457472584668957,
7,range,246,0.9227642276422764,0.5036869554820995,0.5036869554820994,-0.45674427558794606,
7,confluence,0,0.0,0.0,0.0,0.0,no_trades
7,k_confluence_5,230,0.9652173913043478,0.5749022855606288,0.5749022855606287,-0.25438448712599077,
7,k_confluence_4,377,0.9681697612732095,0.5613995256071044,0.5613995256071044,-0.25438448712599065,
7,k_confluence_6,111,0.972972972972973,0.5597632588641597,0.5597632588641598,-0.07907948110617471,
7,k_confluence_7,32,1.0,0.6314022196585959,,0.0,
8,rsi,389,0.961439588688946,0.5314154858561301,0.53141548585613,-0.5023614746757893,
8,adx,270,0.9148148148148149,0.5180259084012119,0.5161072939256518,-0.5019059865655705,
8,cmf,390,0.9333333333333333,0.505433649169912,0.5041376654540916,-0.5023614746757893,
8,rvol,172,0.9011627906976745,0.5517084221803635,0.5517084221803636,-0.2360004190427614,
8,ema10_50,386,0.927461139896373,0.5317286184270128,0.5317286184270129,-0.5019059865655705,
8,ema50_200,329,0.9513677811550152,0.510454500581853,0.5104545005818529,-0.1925188134176123,
8,bbw,232,0.9698275862068966,0.5071431464721166,0.5071431464721164,-0.22812350513138419,
8,range,232,0.9612068965517241,0.5153031566975177,0.5153031566975178,-0.5019059865655705,
8,confluence,4,1.0,0.550589181037662,,0.0,
8,k_confluence_5,269,0.9702602230483272,0.5398600079527907,0.5398600079527905,-0.5019059865655705,
8,k_confluence_4,388,0.9510309278350515,0.5156155377601249,0.5156155377601249,-0.5019059865655705,
8,k_confluence_6,134,0.9552238805970149,0.5565876888682775,0.5565876888682775,-0.24690860722381425,
8,k_confluence_7,40,1.0,0.7727184899947811,,0.0,
9,rsi,497,0.971830985915493,0.5046511471660691,0.5036357525037631,-0.3492957733777814,
9,adx,330,0.9151515151515152,0.49911834699836555,0.4976058671589766,-0.3089830479727385,
9,cmf,442,0.9457013574660633,0.5101306793243394,0.5101306793243394,-0.34929577337778134,
9,rvol,217,0.9308755760368663,0.5006744141407138,0.5006744141407138,-0.34929577337778145,
9,ema10_50,469,0.9275053304904051,0.4965013873476448,0.49544274899509116,-0.3492957733777814,
9,ema50_200,384,0.9427083333333334,0.515651663214288,0.515651663214288,-0.3089830479727384,
9,bbw,277,0.9855595667870036,0.4732427709690246,0.4732427709690246,-0.11795203492548659,
9,range,277,0.9566787003610109,0.5294089888534248,0.5274977650669501,-0.3089830479727385,
9,confluence,6,1.0,0.46148868260920944,,0.0,
9,k_confluence_5,320,0.971875,0.5343808105987368,0.5343808105987369,-0.3089830479727384,
9,k_confluence_4,472,0.9682203389830508,0.5258643832548533,0.5247502637988049,-0.34929577337778145,
9,k_confluence_6,153,0.9738562091503268,0.533718308155298,0.5337183081552981,-0.3089830479727384,
9,k_confluence_7,56,0.9821428571428571,0.5590187193789061,0.5590187193789061,-0.3089830479727385,
